BioGRID_Interaction_ID	Entrez_Gene_Interactor_A	Entrez_Gene_Interactor_B	BioGRID_ID_Interactor_A	BioGRID_ID_Interactor_B	Systematic_Name_Interactor_A	Systematic_Name_Interactor_B	Official_Symbol_Interactor_A	Official_Symbol_Interactor_B	Synonyms_Interactor_A	Synonyms_Interactor_B	Experimental_System	Experimental_System_Type	Author	Pubmed_ID	Organism_Interactor_A	Organism_Interactor_B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source_Database
1206	338	4547	106835	110641	-	-	APOB	MTTP	FLDB|LDLCQ4	ABL|MTP	Two-hybrid	physical	Bradbury P (1999)	9915855	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2466	421	1013	106914	107448	-	-	ARVCF	CDH15	-	CDH14|CDH3|CDHM|MCAD|MRD3	Two-hybrid	physical	Kaufmann U (2000)	11058098	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
5719	133522	2099	126361	108403	-	RP1-130E4.1	PPARGC1B	ESR1	ERRL1|PERC|PGC-1(beta)|PGC1B	ER|ESR|ESRA|ESTRR|Era|NR3A1	Two-hybrid	physical	Kressler D (2002)	11854298	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
5799	6597	2099	112481	108403	-	RP1-130E4.1	SMARCA4	ESR1	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	ER|ESR|ESRA|ESTRR|Era|NR3A1	Two-hybrid	physical	Ichinose H (1997)	9099865	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
5818	79039	2099	122503	108403	-	RP1-130E4.1	DDX54	ESR1	DP97	ER|ESR|ESRA|ESTRR|Era|NR3A1	Two-hybrid	physical	Rajendran RR (2003)	12466272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
5832	2099	30836	108403	119052	RP1-130E4.1	-	ESR1	DNTTIP2	ER|ESR|ESRA|ESTRR|Era|NR3A1	ERBP|FCF2|HSU15552|LPTS-RP2|TdIF2	Two-hybrid	physical	Bu H (2004)	15047147	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
5977	2260	2224	108551	108517	-	-	FGFR1	FDPS	BFGFR|CD331|CEK|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	FPPS|FPS	Two-hybrid	physical	Reilly JF (2002)	12020352	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
6000	7341	355	113188	106851	OK/SW-cl.43	RP11-399O19.7	SUMO1	FAS	DAP1|GMP1|OFC10|PIC1|SENP2|SMT3|SMT3C|SMT3H3|UBL1	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	Two-hybrid	physical	Okura T (1996)	8906799	9606	9606	Low Throughput	-	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID
7668	708	7916	107169	113646	-	DADB-70P7.5	C1QBP	PRRC2A	GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32	BAT2|D6S51|D6S51E|G2	Two-hybrid	physical	Lehner B (2004)	14667819	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
8011	9001	3064	114480	109314	-	-	HAP1	HTT	HAP2|HIP5|HLP|hHLP1	HD|IT15	Two-hybrid	physical	Li XJ (1995)	7477378	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
9622	79947	4015	123018	110199	RP3-476K8.2	-	DHDDS	LOX	CIT|CPT|DS|HDS|RP59	-	Two-hybrid	physical	Kharel Y (2004)	15110773	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
13618	3689	10399	109895	115671	-	HLC7	ITGB2	GNB2L1	CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7	Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1	Two-hybrid	physical	Liliental J (1998)	9442085	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
14055	675	5888	107142	111825	RP11-298P3.4	-	BRCA2	RAD51	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11	BRCC5|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA	Two-hybrid	physical	Sharan SK (1997)	9126738	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
15784	84941	2242	124375	108533	-	-	HSH2D	FES	ALX|HSH2	FPS	Two-hybrid	physical	Oda T (2001)	11700021	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
17140	3054	2551	109304	108826	-	-	HCFC1	GABPA	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	E4TF1-60|E4TF1A|NFT2|NRF2|NRF2A|RCH04A07	Two-hybrid	physical	Vogel JL (2000)	10675337	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
17988	4068	6504	110246	112395	RP5-1052M9.3	RP11-528G1.4	SH2D1A	SLAMF1	DSHP|EBVS|IMD5|LYP|MTCP1|SAP|SAP/SH2D1A|XLP|XLPD|XLPD1	CD150|CDw150|SLAM	Two-hybrid	physical	Howie D (2002)	11806999	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
18476	598	664	107070	107132	RP5-857M17.3	-	BCL2L1	BNIP3	BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS	NIP3	Two-hybrid	physical	Ray R (2000)	10625696	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
18507	581	597	107057	107069	-	-	BAX	BCL2A1	BCL2L4	ACC-1|ACC-2|BCL2L5|BFL1|GRS|HBPA1	Two-hybrid	physical	Zhang H (2000)	10753914	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
18817	1387	4780	107777	110852	-	-	CREBBP	NFE2L2	CBP|KAT3A|RSTS	NRF2	Two-hybrid	physical	Katoh Y (2001)	11683914	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
18885	84687	1029	124202	107463	-	-	PPP1R9B	CDKN2A	PPP1R6|PPP1R9|SPINO|Spn	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	Two-hybrid	physical	Vivo M (2001)	11278317	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
19043	2194	2194	108488	108488	-	-	FASN	FASN	FAS|OA-519|SDR27X1	FAS|OA-519|SDR27X1	Two-hybrid	physical	Chirala SS (2001)	11248039	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
