"Alias","Original"
"ATP8","ATP8"
"MT-ATP8","ATP8"
"ATPase8","ATP8"
"MTATP8","ATP8"
"ATP6","ATP6"
"MT-ATP6","ATP6"
"ATPase6","ATP6"
"MTATP6","ATP6"
"COX1","COX1"
"MT-CO1","COX1"
"COI","COX1"
"MTCO1","COX1"
"COX2","COX2"
"MT-CO2","COX2"
"COII","COX2"
"MTCO2","COX2"
"COX3","COX3"
"MT-CO3","COX3"
"COIII","COX3"
"MTCO3","COX3"
"CYTB","CYTB"
"MT-CYB","CYTB"
"MTCYB","CYTB"
"ND1","ND1"
"MT-ND1","ND1"
"MTND1","ND1"
"ND2","ND2"
"MT-ND2","ND2"
"MTND2","ND2"
"ND3","ND3"
"MT-ND3","ND3"
"MTND3","ND3"
"ND4L","ND4L"
"MT-ND4L","ND4L"
"MTND4L","ND4L"
"ND4","ND4"
"MT-ND4","ND4"
"MTND4","ND4"
"ND5","ND5"
"MT-ND5","ND5"
"MTND5","ND5"
"ND6","ND6"
"MT-ND6","ND6"
"MTND6","ND6"
"RNR2","RNR2"
"MT-RNR2","RNR2"
"MTRNR2","RNR2"
"TRNA","TRNA"
"MT-TA","TRNA"
"MTTA","TRNA"
"TRNR","TRNR"
"MT-TR","TRNR"
"MTTR","TRNR"
"TRNN","TRNN"
"MT-TN","TRNN"
"MTTN","TRNN"
"TRND","TRND"
"MT-TD","TRND"
"MTTD","TRND"
"TRNC","TRNC"
"MT-TC","TRNC"
"MTTC","TRNC"
"TRNE","TRNE"
"MT-TE","TRNE"
"MTTE","TRNE"
"TRNQ","TRNQ"
"MT-TQ","TRNQ"
"MTTQ","TRNQ"
"TRNG","TRNG"
"MT-TG","TRNG"
"MTTG","TRNG"
"TRNH","TRNH"
"MT-TH","TRNH"
"MTTH","TRNH"
"TRNI","TRNI"
"MT-TI","TRNI"
"MTTI","TRNI"
"TRNL1","TRNL1"
"MT-TL1","TRNL1"
"MTTL1","TRNL1"
"TRNL2","TRNL2"
"MT-TL2","TRNL2"
"MTTL2","TRNL2"
"TRNK","TRNK"
"MT-TK","TRNK"
"MTTK","TRNK"
"TRNM","TRNM"
"MT-TM","TRNM"
"MTTM","TRNM"
"TRNF","TRNF"
"MT-TF","TRNF"
"TRNP","TRNP"
"MT-TP","TRNP"
"MTTP","TRNP"
"TRNS1","TRNS1"
"MT-TS1","TRNS1"
"MTTS1","TRNS1"
"TRNS2","TRNS2"
"MT-TS2","TRNS2"
"MTTS2","TRNS2"
"TRNT","TRNT"
"MT-TT","TRNT"
"MTTT","TRNT"
"TRNW","TRNW"
"MT-TW","TRNW"
"MTTW","TRNW"
"TRNY","TRNY"
"MT-TY","TRNY"
"MTTY","TRNY"
"TRNV","TRNV"
"MT-TV","TRNV"
"MTTV","TRNV"
"RNR1","RNR1"
"MT-RNR1","RNR1"
"MTRNR1","RNR1"
