"Alias","Original"
"ATP8","ATP8"
"MT-ATP8","ATP8"
"ATPase8","ATP8"
"MTATP8","ATP8"
"ATP6","ATP6"
"MT-ATP6","ATP6"
"ATPase6","ATP6"
"MTATP6","ATP6"
"CO1","CO1"
"COX1","CO1"
"C2","C2"
"ARMD14","C2"
"CO2","C2"
"COX2","C2"
"CO3","CO3"
"COX3","CO3"
"CYB","CYB"
"ND1","ND1"
"MT-ND1","ND1"
"MTND1","ND1"
"ND2","ND2"
"MT-ND2","ND2"
"MTND2","ND2"
"ND3","ND3"
"MT-ND3","ND3"
"MTND3","ND3"
"ND4L","ND4L"
"MT-ND4L","ND4L"
"MTND4L","ND4L"
"ND4","ND4"
"MT-ND4","ND4"
"MTND4","ND4"
"ND5","ND5"
"MT-ND5","ND5"
"MTND5","ND5"
"ND6","ND6"
"MT-ND6","ND6"
"MTND6","ND6"
"RNR2","RNR2"
"MT-RNR2","RNR2"
"MTRNR2","RNR2"
"TA","TA"
"F2R","F2R"
"CF2R","F2R"
"HTR","F2R"
"PAR-1","F2R"
"PAR1","F2R"
"TR","F2R"
"TNC","TNC"
"150-225","TNC"
"DFNA56","TNC"
"GMEM","TNC"
"GP","TNC"
"HXB","TNC"
"JI","TNC"
"TN","TNC"
"TN-C","TNC"
"TD","TD"
"CD55","CD55"
"CHAPLE","CD55"
"CR","CD55"
"CROM","CD55"
"DAF","CD55"
"TC","CD55"
"TE","TE"
"TQ","TQ"
"TG","TG"
"AITD3","TG"
"TGN","TG"
"TH","TH"
"DYT14","TH"
"DYT5b","TH"
"TYH","TH"
"TI","TI"
"TNFSF15","TNFSF15"
"TL1","TNFSF15"
"TL1A","TNFSF15"
"TNLG1B","TNFSF15"
"VEGI","TNFSF15"
"VEGI192A","TNFSF15"
"TNFSF10","TNFSF10"
"APO2L","TNFSF10"
"Apo-2L","TNFSF10"
"CD253","TNFSF10"
"TANCR","TNFSF10"
"TL2","TNFSF10"
"TNLG6A","TNFSF10"
"TRAIL","TNFSF10"
"TKT","TKT"
"HEL-S-48","TKT"
"HEL107","TKT"
"SDDHD","TKT"
"TK","TKT"
"TKT1","TKT"
"MCL1","MCL1"
"BCL2L3","MCL1"
"EAT","MCL1"
"MCL1-ES","MCL1"
"MCL1L","MCL1"
"MCL1S","MCL1"
"Mcl-1","MCL1"
"TM","MCL1"
"bcl2-L-3","MCL1"
"mcl1/EAT","MCL1"
"F3","F3"
"CD142","F3"
"TF","F3"
"TFA","F3"
"TYMP","TYMP"
"ECGF","TYMP"
"ECGF1","TYMP"
"MEDPS1","TYMP"
"MNGIE","TYMP"
"MTDPS1","TYMP"
"PDECGF","TYMP"
"TP","TYMP"
"hPD-ECGF","TYMP"
"TS1","TS1"
"TS2","TS2"
"TT","TT"
"TW","TW"
"TY","TY"
"TV","TV"
"RNR1","RNR1"
"MT-RNR1","RNR1"
"MTRNR1","RNR1"
"CAGSSS","IARS2"
"ILERS","IARS2"
"Q9NSE4","IARS2"
"HLASA","LARS2"
"LEURS","LARS2"
"PRLTS$","LARS2"
"mtLeuRS","LARS2"
"Q15031","LARS2"
"COXPD41","GATB"
"HSPC199","GATB"
"PET112","GATB"
"PET112L","GATB"
"O75879","GATB"
"CGI-04","YARS2"
"MLASA2","YARS2"
"MT-TYRRS","YARS2"
"TYRRS","YARS2"
"Q9Y2Z4","YARS2"
"COXPD14","FARS2"
"FARS1","FARS2"
"HSPC320","FARS2"
"PheRS","FARS2"
"SPG77","FARS2"
"mtPheRS","FARS2"
"O95363","FARS2"
"COXPD25","MARS2"
"MetRS","MARS2"
"mtMetRS","MARS2"
"Q96GW9","MARS2"
"COXPD42","GATC"
"O43716","GATC"
"NEMMLAS","WARS2"
"TrpRS","WARS2"
"mtTrpRS","WARS2"
"Q9UGM6","WARS2"
"ASPRS","DARS2"
"LBSL","DARS2"
"MT-ASPRS","DARS2"
"mtAspRS","DARS2"
"Q6PI48","DARS2"
"COXPD27","CARS2"
"cysRS","CARS2"
"Q9HA77","CARS2"
"DFNB94","NARS2"
"SLM5","NARS2"
"asnRS","NARS2"
"Q96I59","NARS2"
"COXPD20","VARS2"
"VALRS","VARS2"
"VARS2L","VARS2"
"VARSL","VARS2"
"Q5ST30","VARS2"
"SARS","SARS2"
"SARSM","SARS2"
"SERS","SARS2"
"SYS","SARS2"
"SerRS","SARS2"
"SerRSmt","SARS2"
"mtSerRS","SARS2"
"Q9NP8","SARS2"
"COXPD12","EARS2"
"MSE1","EARS2"
"gluRS","EARS2"
"mtGlnRS","EARS2"
"Q5JPH6","EARS2"
"HARSL","HARS2"
"HARSR","HARS2"
"HO3","HARS2"
"HisRS","HARS2"
"PRLTS2","HARS2"
"P49590","HARS2"
"ArgRS","RARS2"
"DALRD2","RARS2"
"PCH6","RARS2"
"PRO1992","RARS2"
"RARSL","RARS2"
"Q5T160","RARS2"
"COXPD21","TARS2"
"TARSL1","TARS2"
"thrRS","TARS2"
"Q9BW92","TARS2"
"AARSL","AARS2"
"COXPD8","AARS2"
"LKENP","AARS2"
"MT-ALARS","AARS2"
"MTALARS","AARS2"
"Q5JTZ9","AARS2"
"COXPD40","QRSL1"
"GatA","QRSL1"
"Q9H0R6","QRSL1"
"CMT2D","GARS1"
"DSMAV","GARS1"
"GARS","GARS1"
"GlyRS","GARS1"
"HMN5","GARS1"
"SMAD1","GARS1"
"P41250","GARS1"
"EIEE75","PARS2"
"MT-PRORS","PARS2"
"proRS","PARS2"
"Q7L3T8","PARS2"
"CMTRIB","KARS1"
"DFNB89","KARS1"
"KARS","KARS1"
"KARS2","KARS1"
"KRS","KARS1"
"Q15046","KARS1"
