"Alias","Original"
"ATP8","ATP8"
"MT-ATP8","ATP8"
"ATPase8","ATP8"
"MTATP8","ATP8"
"ATP6","ATP6"
"MT-ATP6","ATP6"
"ATPase6","ATP6"
"MTATP6","ATP6"
"CO1","CO1"
"COX1","CO1"
"C2","C2"
"ARMD14","C2"
"CO2","C2"
"COX2","C2"
"CO3","CO3"
"COX3","CO3"
"CYB","CYB"
"ND1","ND1"
"MT-ND1","ND1"
"MTND1","ND1"
"ND2","ND2"
"MT-ND2","ND2"
"MTND2","ND2"
"ND3","ND3"
"MT-ND3","ND3"
"MTND3","ND3"
"ND4L","ND4L"
"MT-ND4L","ND4L"
"MTND4L","ND4L"
"ND4","ND4"
"MT-ND4","ND4"
"MTND4","ND4"
"ND5","ND5"
"MT-ND5","ND5"
"MTND5","ND5"
"ND6","ND6"
"MT-ND6","ND6"
"MTND6","ND6"
"RNR2","RNR2"
"MT-RNR2","RNR2"
"MTRNR2","RNR2"
"TA","TA"
"F2R","F2R"
"CF2R","F2R"
"HTR","F2R"
"PAR-1","F2R"
"PAR1","F2R"
"TR","F2R"
"TNC","TNC"
"150-225","TNC"
"DFNA56","TNC"
"GMEM","TNC"
"GP","TNC"
"HXB","TNC"
"JI","TNC"
"TN","TNC"
"TN-C","TNC"
"TD","TD"
"CD55","CD55"
"CHAPLE","CD55"
"CR","CD55"
"CROM","CD55"
"DAF","CD55"
"TC","CD55"
"TE","TE"
"TQ","TQ"
"TG","TG"
"AITD3","TG"
"TGN","TG"
"TH","TH"
"DYT14","TH"
"DYT5b","TH"
"TYH","TH"
"TI","TI"
"TNFSF15","TNFSF15"
"TL1","TNFSF15"
"TL1A","TNFSF15"
"TNLG1B","TNFSF15"
"VEGI","TNFSF15"
"VEGI192A","TNFSF15"
"TNFSF10","TNFSF10"
"APO2L","TNFSF10"
"Apo-2L","TNFSF10"
"CD253","TNFSF10"
"TANCR","TNFSF10"
"TL2","TNFSF10"
"TNLG6A","TNFSF10"
"TRAIL","TNFSF10"
"TKT","TKT"
"HEL-S-48","TKT"
"HEL107","TKT"
"SDDHD","TKT"
"TK","TKT"
"TKT1","TKT"
"MCL1","MCL1"
"BCL2L3","MCL1"
"EAT","MCL1"
"MCL1-ES","MCL1"
"MCL1L","MCL1"
"MCL1S","MCL1"
"Mcl-1","MCL1"
"TM","MCL1"
"bcl2-L-3","MCL1"
"mcl1/EAT","MCL1"
"F3","F3"
"CD142","F3"
"TF","F3"
"TFA","F3"
"TYMP","TYMP"
"ECGF","TYMP"
"ECGF1","TYMP"
"MEDPS1","TYMP"
"MNGIE","TYMP"
"MTDPS1","TYMP"
"PDECGF","TYMP"
"TP","TYMP"
"hPD-ECGF","TYMP"
"TS1","TS1"
"TS2","TS2"
"TT","TT"
"TW","TW"
"TY","TY"
"TV","TV"
"RNR1","RNR1"
"MT-RNR1","RNR1"
"MTRNR1","RNR1"
