"Alias","Original"
"AADAT","AADAT"
"KAT2","AADAT"
"KATII","AADAT"
"KYAT2","AADAT"
"AASS","AASS"
"LKR/SDH","AASS"
"LKRSDH","AASS"
"LORSDH","AASS"
"ABCB6","ABCB6"
"ABC","ABCB6"
"LAN","ABCB6"
"MTABC3","ABCB6"
"PRP","PRDX2"
"umat","ABCB6"
"ABCB7","ABCB7"
"ABC7","ABCB7"
"ASAT","ABCB7"
"Atm1p","ABCB7"
"EST140535","ABCB7"
"ABCD1","ABCD1"
"ABC42","ABCD1"
"ALD","ABCD1"
"ALDP","ABCD1"
"AMN","ABCD1"
"ABCD3","ABCD3"
"ABC43","ABCD3"
"CBAS5","ABCD3"
"PMP70","ABCD3"
"PXMP1","ABCD3"
"ZWS2","ABCD3"
"ACACB","ACACB"
"ACACbeta","ACACB"
"ACC-beta","ACACB"
"ACC2","ACACB"
"ACCB","ACACB"
"ACCbeta","ACACB"
"HACC275","ACACB"
"ACAD8","ACAD8"
"ACAD-8","ACAD8"
"ARC42","ACAD8"
"IBDH","ACAD8"
"ACAD9","ACAD9"
"MC1DN20","ACAD9"
"NPD002","ACAD9"
"ACADM","ACADM"
"ACAD1","ACADM"
"MCAD","ACADM"
"MCADH","ACADM"
"ACADS","ACADS"
"ACAD3","ACADS"
"SCAD","ACADS"
"CPN2","CPN2"
"ACBP","CPN2"
"ACLY","ACLY"
"ACL","ACLY"
"ATPCL","ACLY"
"CLATP","ACLY"
"ACOT2","ACOT2"
"CTE-IA","ACOT2"
"CTE1A","ACOT2"
"MTE1","ACOT2"
"PTE2","ACOT2"
"PTE2A","ACOT2"
"ZAP128","ACOT2"
"ACSF2","ACSF2"
"ACSMW","ACSF2"
"AVYV493","ACSF2"
"ACSF3","ACSF3"
"ACSL1","ACSL1"
"ACS1","ACSL1"
"FACL1","ACSL1"
"FACL2","ACSL1"
"LACS","ACSL1"
"LACS1","ACSL1"
"LACS2","ACSL1"
"ACSM3","ACSM3"
"SA","ACSM3"
"SAH","ACSM3"
"FDX1","FDX1"
"ADX","FDX1"
"FDX","FDX1"
"LOH11CR1D","FDX1"
"AGK","AGK"
"CATC5","AGK"
"CTRCT38","AGK"
"MTDPS10","AGK"
"MULK","AGK"
"AGXT2","AGXT2"
"AGT2","AGXT2"
"BAIBA","AGXT2"
"DAIBAT","AGXT2"
"AIFM1","AIFM1"
"AIF","AIFM1"
"AUNX1","AIFM1"
"CMT2D","GARS1"
"CMTX4","AIFM1"
"COWCK","AIFM1"
"COXPD6","AIFM1"
"DFNX5","AIFM1"
"NADMR","AIFM1"
"NAMSD","AIFM1"
"PDCD8","AIFM1"
"SEMDHL","AIFM1"
"AIP","AURKAIP1"
"ARA9","AIP"
"FKBP16","AIP"
"FKBP37","AIP"
"PITA1","AIP"
"SMTPHN","AIP"
"XAP-2","AIP"
"XAP2","AIP"
"AURKAIP1","AURKAIP1"
"AKIP","AURKAIP1"
"MRP-S38","AURKAIP1"
"mS38","AURKAIP1"
"ALDH2","ALDH2"
"ALDH-E2","ALDH2"
"ALDHI","ALDH2"
"ALDM","ALDH2"
"IGFALS","IGFALS"
"ACLSD","IGFALS"
"ALS","IGFALS"
"AMACR","AMACR"
"AMACRD","AMACR"
"CBAS4","AMACR"
"P504S","AMACR"
"RACE","AMACR"
"RM","AMACR"
"SLC25A6","SLC25A6"
"AAC3","SLC25A6"
"ANT","SLC25A6"
"ANT 2","SLC25A6"
"ANT 3","SLC25A6"
"ANT3","SLC25A6"
"ANT3Y","SLC25A6"
"ANAPC4","ANAPC4"
"APC4","ANAPC4"
"APEX1","APEX1"
"APE","APEX1"
"APE1","APEX1"
"APEN","APEX1"
"APEX","APEX1"
"APX","APEX1"
"HAP1","APEX1"
"REF1","APEX1"
"ARL1","ARL1"
"ARFL1","ARL1"
"ARL2","ARL2"
"ARFL2","ARL2"
"MRCS1","ARL2"
"ATAD1","ATAD1"
"AFDC1","ATAD1"
"FNP001","ATAD1"
"HKPX4","ATAD1"
"Msp1","ATAD1"
"THORASE","ATAD1"
"hATAD1","ATAD1"
"ATP23","ATP23"
"KUB3","ATP23"
"XRCC6BP1","ATP23"
"ATP5PD","ATP5PD"
"APT5H","ATP5PD"
"ATP5H","ATP5PD"
"ATPQ","ATP5PD"
"ATP5ME","ATP5ME"
"ATP5I","ATP5ME"
"ATP5K","ATP5ME"
"ATP5PF","ATP5PF"
"ATP5","ATP5PF"
"ATP5A","ATP5PF"
"ATP5J","ATP5PF"
"ATPM","ATP5PF"
"CF6","ATP5PF"
"F6","ATP5PF"
"DMAC2L","DMAC2L"
"ATP5S","DMAC2L"
"ATPW","DMAC2L"
"FB","DMAC2L"
"HSU79253","DMAC2L"
"ATP5PO","ATP5PO"
"ATP5O","ATP5PO"
"ATPO","ATP5PO"
"HMC08D05","ATP5PO"
"MC5DN7","ATP5PO"
"OSCP","ATP5PO"
"ACOT7","ACOT7"
"ACH1","ACOT7"
"ACT","ACOT7"
"BACH","ACOT7"
"CTE-II","ACOT7"
"LACH","ACOT7"
"LACH1","ACOT7"
"hBACH","ACOT7"
"BAK1","BAK1"
"BAK","BAK1"
"BAK-LIKE","BAK1"
"BCL2L7","BAK1"
"CDN1","BAK1"
"BAX","BAX"
"BCL2L4","BAX"
"BCAT2","BCAT2"
"BCAM","BCAT2"
"BCATM","BCAT2"
"BCT2","BCAT2"
"HVLI","BCAT2"
"PP18","BCAT2"
"BCO2","BCO2"
"B-DIOX-II","BCO2"
"BCDO2","BCO2"
"BCS1L","BCS1L"
"BCS","BCS1L"
"BCS1","BCS1L"
"BJS","BCS1L"
"FLNMS","BCS1L"
"GRACILE","BCS1L"
"Hs.6719","BCS1L"
"MC3DN1","BCS1L"
"PTD","BCS1L"
"h-BCS","BCS1L"
"h-BCS1","BCS1L"
"BDH1","BDH1"
"BDH","BDH1"
"SDR9C1","BDH1"
"BNIP3","BNIP3"
"HABON","BNIP3"
"NIP3","BNIP3"
"BOLA1","BOLA1"
"CGI-143","BOLA1"
"BOLA3","BOLA3"
"MMDS2","BOLA3"
"BPHL","BPHL"
"BPH-RP","BPHL"
"MCNAA","BPHL"
"VACVASE","BPHL"
"C1QBP","C1QBP"
"COXPD33","C1QBP"
"GC1QBP","C1QBP"
"HABP1","C1QBP"
"SF2AP32","C1QBP"
"SF2p32","C1QBP"
"gC1Q-R","C1QBP"
"gC1qR","C1QBP"
"p32","C1QBP"
"CASP3","CASP3"
"CPP32","CASP3"
"CPP32B","CASP3"
"SCA-1","CASP3"
"CASP9","CASP9"
"APAF-3","CASP9"
"APAF3","CASP9"
"ICE-LAP6","CASP9"
"MCH6","CASP9"
"PPP1R56","CASP9"
"CPT1C","CPT1C"
"CATL1","CPT1C"
"CPT I-C","CPT1C"
"CPT1-B","CPT1C"
"CPT1P","CPT1C"
"CPTI-B","CPT1C"
"CPTIC","CPT1C"
"SPG73","CPT1C"
"CBR3","CBR3"
"HEL-S-25","CBR3"
"SDR21C2","CBR3"
"hCBR3","CBR3"
"HCCS","HCCS"
"CCHL","HCCS"
