INTERACTION_ID,ENTREZ_GENE_A,ENTREZ_GENE_B,OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM,PUBMED_ID,PUBMED_AUTHOR,THROUGHPUT,QUALIFICATIONS
5977,2260,2224,FGFR1,FDPS,Two-hybrid,12020352,Reilly JF (2002),Low Throughput,-
7668,708,7916,C1QBP,PRRC2A,Two-hybrid,14667819,Lehner B (2004),Low Throughput,-
13646,5170,5590,PDPK1,PRKCZ,Two-hybrid,10764742,Balendran A (2000),Low Throughput,-
14212,5925,10131,RB1,TRAP1,Two-hybrid,8756626,Chen CF (1996),Low Throughput,-
17299,5170,5584,PDPK1,PRKCI,Two-hybrid,10764742,Balendran A (2000),Low Throughput,-
17967,2157,5264,F8,PHYH,Two-hybrid,11574539,Chen C (2001),Low Throughput,-
18476,598,664,BCL2L1,BNIP3,Two-hybrid,10625696,Ray R (2000),Low Throughput,-
18507,581,597,BAX,BCL2A1,Two-hybrid,10753914,Zhang H (2000),Low Throughput,-
18970,51651,166,PTRH2,AES,Two-hybrid,15006356,Jan Y (2004),Low Throughput,-
19043,2194,2194,FASN,FASN,Two-hybrid,11248039,Chirala SS (2001),Low Throughput,-
19118,27247,7290,NFU1,HIRA,Two-hybrid,11342215,Lorain S (2001),Low Throughput,-
19341,27429,1432,HTRA2,MAPK14,Two-hybrid,10644717,Faccio L (2000),Low Throughput,-
23062,5191,5264,PEX7,PHYH,Two-hybrid,9326939,Mihalik SJ (1997),Low Throughput,-
26097,4170,572,MCL1,BAD,Two-hybrid,11483855,Bae J (2001),Low Throughput,-
26853,10059,2932,DNM1L,GSK3B,Two-hybrid,9731200,Hong YR (1998),Low Throughput,-
27189,27257,9380,LSM1,GRHPR,Two-hybrid,15231747,Lehner B (2004),High Throughput,-
27516,8458,10549,TTF2,PRDX4,Two-hybrid,12927788,Leonard D (2003),Low Throughput,-
27517,8458,81570,TTF2,CLPB,Two-hybrid,12927788,Leonard D (2003),Low Throughput,-
28034,4170,666,MCL1,BOK,Two-hybrid,9356461,Hsu SY (1997),Low Throughput,-
28279,10549,10549,PRDX4,PRDX4,Two-hybrid,9388242,Jin DY (1997),Low Throughput,-
28765,51102,5914,MECR,RARA,Two-hybrid,9795230,Masuda N (1998),Low Throughput,-
29029,79947,4535,DHDDS,ND1,Two-hybrid,15110773,Kharel Y (2004),Low Throughput,-
29255,6714,4536,SRC,ND2,Two-hybrid,15069201,Gingrich JR (2004),Low Throughput,-
29443,5187,1407,PER1,CRY1,Two-hybrid,10531061,Griffin EA (1999),Low Throughput,-
29447,8864,1407,PER2,CRY1,Two-hybrid,10531061,Griffin EA (1999),Low Throughput,-
29451,406,1407,ARNTL,CRY1,Two-hybrid,10531061,Griffin EA (1999),Low Throughput,-
119419,7916,708,PRRC2A,C1QBP,Two-hybrid,14667819,Lehner B (2004),Low Throughput,-
119429,4110,92667,MAGEA11,MGME1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119542,4100,54471,MAGEA1,MIEF1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119567,1407,5359,CRY1,PLSCR1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119573,293,5359,SLC25A6,PLSCR1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119614,2272,2272,FHIT,FHIT,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119636,4110,51103,MAGEA11,NDUFAF1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119682,5359,6687,PLSCR1,SPG7,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119698,293,83755,SLC25A6,KRTAP4-12,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119713,4077,51534,NBR1,VTA1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119726,373,80308,TRIM23,FLAD1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119750,4103,7381,MAGEA4,UQCRB,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119766,3880,9814,KRT19,SFI1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119796,10063,84056,COX17,KATNAL1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119800,2130,2194,EWSR1,FASN,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119801,56952,80308,PRTFDC1,FLAD1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119871,868,1407,CBLB,CRY1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119893,10513,79594,APPBP2,MUL1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119922,9814,55698,SFI1,RADIL,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119957,113675,113675,SDSL,SDSL,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
119991,9491,125170,PSMF1,MIEF2,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
120028,22934,84708,RPIA,LNX1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
120156,22934,51534,RPIA,VTA1,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
120176,1407,4188,CRY1,MDFI,Two-hybrid,16189514,Rual JF (2005),High Throughput,-
