INTERACTION_ID,ENTREZ_GENE_A,ENTREZ_GENE_B,OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM,PUBMED_ID,PUBMED_AUTHOR,THROUGHPUT,QUALIFICATIONS
26097,4170,572,MCL1,BAD,Two-hybrid,11483855,Bae J (2001),Low Throughput,-
28034,4170,666,MCL1,BOK,Two-hybrid,9356461,Hsu SY (1997),Low Throughput,-
29029,79947,4535,DHDDS,ND1,Two-hybrid,15110773,Kharel Y (2004),Low Throughput,-
29255,6714,4536,SRC,ND2,Two-hybrid,15069201,Gingrich JR (2004),Low Throughput,-
96873,853327,853427,ASF1,RNR2,Affinity Capture-MS,11805826,Gavin AC (2002),High Throughput,-
98188,852386,853427,NHP6B,RNR2,Affinity Capture-MS,11805826,Gavin AC (2002),High Throughput,-
100360,851513,853427,SIT4,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
100762,854404,853427,WTM2,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
100961,852740,853427,SEC27,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
101260,852007,853427,UTP5,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
101463,855081,853427,SEN15,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
101770,851265,853427,SWD1,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
102008,856167,853427,SMK1,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
102542,854878,853427,RAD10,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
102836,853452,853427,CYR1,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
102980,854938,856801,TEM1,RNR1,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
102985,854938,853427,TEM1,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
103472,854744,856801,RNR3,RNR1,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
103616,856574,856801,DBP8,RNR1,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
103624,856574,853427,DBP8,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
103729,851163,853427,SIR3,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
109211,855228,856801,SGS1,RNR1,Synthetic Lethality,11743205,Tong AH (2001),High Throughput,-
136379,852325,854622,SCO1,COX2,Affinity Capture-Western,11086158,Lode A (2000),Low Throughput,-
136830,854622,852312,COX2,SCO2,Affinity Capture-Western,12125048,Lode A (2002),Low Throughput,-
137774,853091,853427,RNR4,RNR2,Affinity Capture-Western,9315670,Huang M (1997),Low Throughput,-
138939,850900,854598,MSS51,COX1,Affinity Capture-Western,14592991,Perez-Martinez X (2003),Low Throughput,-
139665,856801,854945,RNR1,SML1,Affinity Capture-Western,9774971,Zhao X (1998),Low Throughput,-
142506,856801,854945,RNR1,SML1,Two-hybrid,11904430,Zhao X (2002),Low Throughput,-
142507,856801,854945,RNR1,SML1,Two-hybrid,11074005,Zhao X (2000),Low Throughput,-
142508,856801,854945,RNR1,SML1,Two-hybrid,9774971,Zhao X (1998),Low Throughput,-
142509,856801,856801,RNR1,RNR1,Two-hybrid,9774971,Zhao X (1998),Low Throughput,-
142510,853427,853427,RNR2,RNR2,Two-hybrid,9774971,Zhao X (1998),Low Throughput,-
143260,851109,854601,ATP10,ATP6,Affinity Capture-Western,14998992,Tzagoloff A (2004),Low Throughput,crosslinking
143261,852177,854601,ATP1,ATP6,Affinity Capture-Western,14998992,Tzagoloff A (2004),Low Throughput,-
