INTERACTION_ID,ENTREZ_GENE_A,ENTREZ_GENE_B,OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM,PUBMED_ID,PUBMED_AUTHOR,THROUGHPUT,QUALIFICATIONS
29029,79947,4535,DHDDS,ND1,Two-hybrid,15110773,Kharel Y (2004),Low Throughput,-
29255,6714,4536,SRC,ND2,Two-hybrid,15069201,Gingrich JR (2004),Low Throughput,-
96873,853327,853427,ASF1,RNR2,Affinity Capture-MS,11805826,Gavin AC (2002),High Throughput,-
98188,852386,853427,NHP6B,RNR2,Affinity Capture-MS,11805826,Gavin AC (2002),High Throughput,-
100360,851513,853427,SIT4,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
100762,854404,853427,WTM2,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
100961,852740,853427,SEC27,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
101260,852007,853427,UTP5,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
101463,855081,853427,SEN15,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
101770,851265,853427,SWD1,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
102008,856167,853427,SMK1,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
102542,854878,853427,RAD10,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
102836,853452,853427,CYR1,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
102980,854938,856801,TEM1,RNR1,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
102985,854938,853427,TEM1,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
103472,854744,856801,RNR3,RNR1,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
103616,856574,856801,DBP8,RNR1,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
103624,856574,853427,DBP8,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
103729,851163,853427,SIR3,RNR2,Affinity Capture-MS,11805837,Ho Y (2002),High Throughput,-
109211,855228,856801,SGS1,RNR1,Synthetic Lethality,11743205,Tong AH (2001),High Throughput,-
137774,853091,853427,RNR4,RNR2,Affinity Capture-Western,9315670,Huang M (1997),Low Throughput,-
139665,856801,854945,RNR1,SML1,Affinity Capture-Western,9774971,Zhao X (1998),Low Throughput,-
142506,856801,854945,RNR1,SML1,Two-hybrid,11904430,Zhao X (2002),Low Throughput,-
142507,856801,854945,RNR1,SML1,Two-hybrid,11074005,Zhao X (2000),Low Throughput,-
142508,856801,854945,RNR1,SML1,Two-hybrid,9774971,Zhao X (1998),Low Throughput,-
142509,856801,856801,RNR1,RNR1,Two-hybrid,9774971,Zhao X (1998),Low Throughput,-
142510,853427,853427,RNR2,RNR2,Two-hybrid,9774971,Zhao X (1998),Low Throughput,-
143260,851109,854601,ATP10,ATP6,Affinity Capture-Western,14998992,Tzagoloff A (2004),Low Throughput,crosslinking
143261,852177,854601,ATP1,ATP6,Affinity Capture-Western,14998992,Tzagoloff A (2004),Low Throughput,-
143262,852177,854600,ATP1,ATP8,Affinity Capture-Western,14998992,Tzagoloff A (2004),Low Throughput,-
143264,856027,854601,ATP4,ATP6,Affinity Capture-Western,14998992,Tzagoloff A (2004),Low Throughput,-
143265,856027,854600,ATP4,ATP8,Affinity Capture-Western,14998992,Tzagoloff A (2004),Low Throughput,-
145091,856898,854601,OXA1,ATP6,Affinity Capture-Western,11250894,Hell K (2001),Low Throughput,crosslinker added
145366,854945,856801,SML1,RNR1,Reconstituted Complex,10593972,Chabes A (1999),Low Throughput,-
145963,853427,853091,RNR2,RNR4,Reconstituted Complex,10716984,Chabes A (2000),Low Throughput,-
146717,853427,853427,RNR2,RNR2,Co-crystal Structure,15196016,Sommerhalter M (2004),Low Throughput,-
148737,856027,854601,ATP4,ATP6,Reconstituted Complex,9425084,Spannagel C (1998),Low Throughput,-
148738,856027,854601,ATP4,ATP6,Reconstituted Complex,9893937,Velours J (1998),Low Throughput,-
152739,856027,854600,ATP4,ATP8,Co-purification,9867807,Arnold I (1999),Low Throughput,-
153471,856801,856801,RNR1,RNR1,Co-fractionation,10593972,Chabes A (1999),Low Throughput,-
153714,856801,856801,RNR1,RNR1,Co-fractionation,11893751,Domkin V (2002),Low Throughput,-
154011,856801,850873,RNR1,RFX1,Dosage Lethality,9741624,Huang M (1998),Low Throughput,-
154012,853427,850873,RNR2,RFX1,Dosage Lethality,9741624,Huang M (1998),Low Throughput,-
154195,853427,854026,RNR2,CDC33,Dosage Rescue,10585489,Abid MR (1999),Low Throughput,-
155215,852582,856801,PAF1,RNR1,Dosage Rescue,12395202,Betz JL (2002),Low Throughput,overexpression of RNR1 partially rescues paf1 sensitivity to HU
155217,852433,856801,MEC1,RNR1,Dosage Rescue,9927443,Vallen EA (1999),Low Throughput,in GAL-Cln1 background
155218,853091,856801,RNR4,RNR1,Dosage Rescue,9315670,Huang M (1997),Low Throughput,-
155219,854508,856801,MIP1,RNR1,Dosage Rescue,8552025,Lecrenier N (1995),Low Throughput,-
155221,856801,854744,RNR1,RNR3,Dosage Rescue,2199320,Elledge SJ (1990),Low Throughput,-
156226,854198,856801,EXO1,RNR1,Phenotypic Enhancement,11438669,Amin NS (2001),Low Throughput,-
157795,854026,853427,CDC33,RNR2,Synthetic Lethality,10585489,Abid MR (1999),Low Throughput,-
